playlist_index,original_title,original_artists,candidate_url,candidate_track_id,candidate_title,candidate_artists,candidate_key,candidate_key_camelot,candidate_year,candidate_bpm,candidate_label,candidate_genres,candidate_release,candidate_release_date,title_sim,artist_sim,base_score,bonus_year,bonus_key,final_score,guard_ok,reject_reason,search_query_index,search_query_text,candidate_index,elapsed_ms,winner
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/thinking-about-you/16370696,16370696,Thinking About You Original Mix,Night Tales,Eb Minor,2A,2022,128,Ultra,Electronica,,2022-04-08,27.58620689655173,10,19.7,0,0,26.7,N,guard_artist_sim_no_overlap,1,Night Tales (Original Mix) Bross (RO),5,468,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/take-it-slow/17001329,17001329,Take It Slow Original Mix,Night Tales,Eb Minor,2A,2022,122,Ultra,"Dance / Pop, Mainstage, Mainstage|Future House",,2022-10-07,52.17391304347826,10,33.2,0,0,40.2,N,guard_artist_sim_no_overlap,1,Night Tales (Original Mix) Bross (RO),4,2633,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/night-tales/19837858,19837858,Night Tales Original Mix,"Rui Da Silva, Cosmic Bambino",G Minor,6A,2024,124,Infinity & Beyond,"Minimal / Deep Tech, Deep House, House",,2024-12-20,100.0,36,71.2,0,0,79.7,Y,,1,Night Tales (Original Mix) Bross (RO),7,2983,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/night-tales/19404397,19404397,Night Tales Extended Mix,LEMON (RO),F Minor,4A,2024,123,Pulse. Records,"Afro House, Melodic House & Techno|Melodic House, Melodic House & Techno, Melodic House & Techno|Melodic Techno, Organic House",,2024-08-22,100.0,50,77.5,0,0,84.0,Y,,1,Night Tales (Original Mix) Bross (RO),2,3336,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/i-hear-the-drums/11761880,11761880,I Hear the Drums Original Mix,Bross (RO),C Major,8B,2019,120,Crossfade Sounds,"Deep House, House",,2019-05-02,29.629629629629633,100,61.3,0,0,68.3,N,guard_short_title_high_floor,1,Night Tales (Original Mix) Bross (RO),10,3634,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/beekind-original-mix/13536195,13536195,,,,,,,,,,,0.0,0,0.0,0,0,1.0,N,no_title,1,Night Tales (Original Mix) Bross (RO),14,468,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/night-tales-original-mix/16871497,16871497,Night Tales Original Mix,"Ignacio Berardi, Franco Armellini",G Major,9B,2022,122,The Soundgarden,Progressive House,,2022-09-09,100.0,34,70.3,0,0,78.8,Y,,1,Night Tales (Original Mix) Bross (RO),3,4751,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/trubadour-du-puentes-original-mix/14696315,14696315,Trubadour Du Puentes Original Mix,Bross (RO),E Minor,9A,2021,122,TRYBESof,"Organic House, Melodic House & Techno",,2021-01-22,32.25806451612904,100,62.7,0,0,69.7,N,guard_short_title_high_floor,1,Night Tales (Original Mix) Bross (RO),9,5441,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/night-tales/12327901,12327901,Night Tales Original Mix,"Bross (RO), VICTHOR",F Major,7B,2019,120,All Day I Dream,"Deep House, House",,2019-08-09,100.0,100,100.0,0,0,108.5,Y,,1,Night Tales (Original Mix) Bross (RO),1,5501,Y
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/late-night-shopping/20116990,20116990,Late Night Shopping Original Mix,Bross (RO),G Minor,6A,2025,128,SATYA,"Deep House, Minimal / Deep Tech",,2025-04-11,62.5,100,79.4,0,0,86.4,N,guard_short_title_high_floor,1,Night Tales (Original Mix) Bross (RO),8,6342,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/straight-to-the-heart-original-mix/9532620,9532620,Straight To The Heart Original Mix,Bedouin,Gb Minor,11A,2017,116,All Day I Dream,"Deep House, Minimal / Deep Tech",,2017-07-28,43.75,26,35.8,0,0,42.8,N,guard_artist_sim_no_overlap,1,Night Tales (Original Mix) Bross (RO),6,6404,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/night-tales-original-mix/12327901,12327901,Night Tales Original Mix,"Bross (RO), VICTHOR",F Major,7B,2019,120,All Day I Dream,"Deep House, House",,2019-08-09,100.0,100,100.0,0,0,108.5,Y,,1,Night Tales (Original Mix) Bross (RO),11,6295,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/beekind/13074460,13074460,BeeKind Original Mix,Bross (RO),E Major,12B,2020,120,COYA MUSIC,"Afro House, Organic House, Melodic House & Techno",,2020-02-06,11.111111111111114,100,51.1,0,0,58.1,N,guard_short_title_high_floor,1,Night Tales (Original Mix) Bross (RO),12,4164,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/night-tales/11324958,11324958,Night Tales Original Mix,Hoolz,B Minor,10A,2018,123,KitchenSync Records,Electronica,,2018-12-12,100.0,30,68.5,0,0,77.0,Y,,1,Night Tales (Original Mix) Bross (RO),13,3909,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/retreat/12155545,12155545,Retreat Original Mix,Danny Howells,D# Minor,2A,2019,124,8Bit,"Deep House, House",,2019-07-29,22.22222222222223,19,20.8,0,0,27.8,N,guard_artist_sim_no_overlap,1,Night Tales (Original Mix) Bross (RO),15,3574,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/i-hear-the-drums/9259956,9259956,I Hear the Drums Original Mix,Bross (RO),C Major,8B,2017,120,Crossfade Sounds,"Deep House, House, Minimal / Deep Tech",,2017-05-08,29.629629629629633,100,61.3,0,0,68.3,N,guard_short_title_high_floor,2,Bross (RO) Night Tales (Original Mix),6,452,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/cutting-chords/11998421,11998421,Cutting Chords Original Mix,Death on the Balcony,A Minor,8A,2019,120,Kindisch,Deep House,,2019-05-31,24.0,28,25.8,0,0,32.8,N,guard_artist_sim_no_overlap,2,Bross (RO) Night Tales (Original Mix),5,502,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/kalyana/14007338,14007338,Kalyāṇa Original Mix,Soul Of Void,C Minor,5A,2020,119,ODYSSEY,"Organic House, Afro House|Afro / Latin, Afro House, Melodic House & Techno, Melodic House & Techno|Melodic House",,2020-08-21,22.22222222222223,40,30.2,0,0,37.2,N,guard_low_artist_high_title_required,2,Bross (RO) Night Tales (Original Mix),12,562,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/a-dolphins-tale/14478169,14478169,A Dolphin's Tale Chambord Discovery Remix,"DBRA, Chambord, Tale Chambord Discovery",D Major,10B,2020,118,WAYU Records,"Organic House, Melodic House & Techno, Progressive House",,2020-12-04,26.92307692307692,37,31.5,0,0,23.5,N,guard_low_artist_high_title_required,2,Bross (RO) Night Tales (Original Mix),13,645,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/sun-of-evening/13728854,13728854,Sun of Evening Original Mix,SUMU,E Minor,9A,2020,120,Hoomidaas,"Organic House, Melodic House & Techno",,2020-06-26,40.0,16,29.2,0,0,36.2,N,guard_artist_sim_no_overlap,2,Bross (RO) Night Tales (Original Mix),18,458,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/amarr/14533383,14533383,Amarr Original Mix,"Alex Twin, VICTHOR",F Major,7B,2020,121,All Day I Dream,"Organic House, Melodic House & Techno, Afro House",,2020-12-11,12.5,26,18.6,0,0,25.6,N,guard_artist_sim_no_overlap,2,Bross (RO) Night Tales (Original Mix),7,2008,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/time/13941142,13941142,Time Armen Miran Remix,"Nohan, Armen Miran, Time Armen Miran",A# Minor,3A,2020,122,Hoomidaas,"Organic House, Melodic House & Techno",,2020-08-21,30.303030303030297,31,30.6,0,0,22.6,N,guard_artist_sim_no_overlap,2,Bross (RO) Night Tales (Original Mix),17,1516,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/walk-away/14533385,14533385,Walk Away Original Mix,VICTHOR,D Major,10B,2020,122,All Day I Dream,"Organic House, Melodic House & Techno",,2020-12-11,30.0,26,28.2,0,0,35.2,N,guard_artist_sim_no_overlap,2,Bross (RO) Night Tales (Original Mix),9,2119,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/attraction/14472531,14472531,Attraction Birds of Mind Remix,"DSF, Birds of Mind",A# Minor,3A,2020,123,Melody Of the Soul,"Organic House, Melodic House & Techno, Afro House, Progressive House",,2020-12-04,19.512195121951223,47,31.9,0,0,26.9,N,guard_low_artist_high_title_required,2,Bross (RO) Night Tales (Original Mix),14,2302,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/flavor/13941141,13941141,Flavor Pambouk Remix,"Nohan, Pambouk, Flavor Pambouk",E Minor,9A,2020,120,Hoomidaas,"Organic House, Melodic House & Techno",,2020-08-21,19.354838709677423,27,22.8,0,0,14.8,N,guard_artist_sim_no_overlap,2,Bross (RO) Night Tales (Original Mix),15,1913,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/sundar/14533384,14533384,Sundar Newman (I Love) Retouch,"Christian Lepah, VICTHOR, Newman (I Love)",C Major,8B,2020,122,All Day I Dream,"Organic House, Melodic House & Techno",,2020-12-11,25.641025641025635,26,25.8,0,0,23.8,N,guard_artist_sim_no_overlap,2,Bross (RO) Night Tales (Original Mix),8,2502,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/la-caminata/14533382,14533382,La Caminata Original Mix,"Bross (RO), VICTHOR",E Major,12B,2020,122,All Day I Dream,"Organic House, Melodic House & Techno",,2020-12-11,36.36363636363637,100,65.0,0,0,72.0,N,guard_short_title_high_floor,2,Bross (RO) Night Tales (Original Mix),10,2578,N
