playlist_index,original_title,original_artists,search_query_index,search_query_text,candidate_count,elapsed_ms,is_winner,winner_candidate_index,is_stop
31,(F) Planet 9,Adam Port,1,(F) Planet 9 Adam Port,0,6615,N,,N
31,(F) Planet 9,Adam Port,2,Adam Port (F) Planet 9,6,6753,N,,N
31,(F) Planet 9,Adam Port,3,Planet 9 Adam Port,161,29093,Y,16,N
31,(F) Planet 9,Adam Port,4,Adam Port Planet 9,6,8894,N,,N
31,(F) Planet 9,Adam Port,5,Planet 9 (F) Adam Port,16,17550,N,,N
31,(F) Planet 9,Adam Port,6,Adam Port Planet 9 (F),6,6099,N,,Y
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,1,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix,35,26299,N,,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,2,Keinemusik remix [3] (F) Never Sleep Again (Keinemusik Remix),124,27850,N,,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,3,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik remix original mix,25,26998,N,,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,4,Keinemusik remix original mix [3] (F) Never Sleep Again (Keinemusik Remix),6,17241,N,,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,5,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik extended remix,117,24977,N,,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,6,Keinemusik extended remix [3] (F) Never Sleep Again (Keinemusik Remix),107,26405,N,,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,7,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik extended mix,116,15823,N,,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,8,Keinemusik extended mix [3] (F) Never Sleep Again (Keinemusik Remix),6,15054,N,,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,9,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik club remix,124,17625,N,,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,10,Keinemusik club remix [3] (F) Never Sleep Again (Keinemusik Remix),25,29529,N,,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,11,[3] (F) Never Sleep Again (Keinemusik Remix) Keinemusik club mix,35,15872,N,,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,12,Keinemusik club mix [3] (F) Never Sleep Again (Keinemusik Remix),35,26371,N,,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,13,Never Sleep Again Keinemusik remix,5,6980,N,,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,14,Keinemusik remix Never Sleep Again,6,19986,N,,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,15,Never Sleep Again Keinemusik remix original mix,25,28161,N,,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,16,Keinemusik remix original mix Never Sleep Again,5,15902,N,,N
49,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,17,Never Sleep Again Keinemusik extended remix,6,6890,N,,N
